q_id,original_query,variation,method,transformation_type
1037798,who is robert gray,who is robret gray,WordSwapNeighboringCharacterSwap,mispelling
1037798,who is robert gray,who is robert grzy,WordSwapQWERTY,mispelling
1037798,who is robert gray,who is robert tray,WordSwapRandomCharacterSubstitution,mispelling
1037798,who is robert gray,robert gray,naturality_by_removing_stop_words,naturality
1037798,who is robert gray,robert gray is ,summarization_with_t5-base,naturality
1037798,who is robert gray,robert gray,summarization_with_t5-base_from_description_to_title,naturality
1037798,who is robert gray,robert is who gray,WordInnerSwapRandom,ordering
1037798,who is robert gray,Who is Robert Grey?,back_translation_pivot_language_de,paraphrase
1037798,who is robert gray,Who is Robert Gray?,ramsrigouthamg/t5_paraphraser,paraphrase
1037798,who is robert gray,who is robert grays,WordSwapEmbedding,synonym
1037798,who is robert gray,who is robert grey-haired,WordSwapWordNet,synonym
104861,cost of interior concrete flooring,ocst of interior concrete flooring,WordSwapNeighboringCharacterSwap,mispelling
104861,cost of interior concrete flooring,cost of interior concrete elooring,WordSwapQWERTY,mispelling
104861,cost of interior concrete flooring,cost of interior concrete flooRing,WordSwapRandomCharacterSubstitution,mispelling
104861,cost of interior concrete flooring,cost interior concrete flooring,naturality_by_removing_stop_words,naturality
104861,cost of interior concrete flooring,: cost of interior concrete flooring,summarization_with_t5-base,naturality
104861,cost of interior concrete flooring,cost of interior concrete flooring,summarization_with_t5-base_from_description_to_title,naturality
104861,cost of interior concrete flooring,of cost interior concrete flooring,WordInnerSwapRandom,ordering
104861,cost of interior concrete flooring,Cost of internal concrete,back_translation_pivot_language_de,paraphrase
104861,cost of interior concrete flooring,What is the cost of interior concrete flooring?,ramsrigouthamg/t5_paraphraser,paraphrase
104861,cost of interior concrete flooring,cost of interior concrete floor,WordSwapEmbedding,synonym
104861,cost of interior concrete flooring,toll of interior concrete flooring,WordSwapWordNet,synonym
1063750,why did the us volunterilay enter ww1,why did the su volunterilay enter ww1,WordSwapNeighboringCharacterSwap,mispelling
1063750,why did the us volunterilay enter ww1,why did the us volunterilay enter ww1,WordSwapQWERTY,mispelling
1063750,why did the us volunterilay enter ww1,why did the cs volunterilay enter ww1,WordSwapRandomCharacterSubstitution,mispelling
1063750,why did the us volunterilay enter ww1,us volunterilay enter ww1,naturality_by_removing_stop_words,naturality
1063750,why did the us volunterilay enter ww1,why did the us volunteri,summarization_with_t5-base,naturality
1063750,why did the us volunterilay enter ww1,volunterilay ww,summarization_with_t5-base_from_description_to_title,naturality
1063750,why did the us volunterilay enter ww1,why did the ww1 volunterilay enter us,WordInnerSwapRandom,ordering
