dataset,q_id,method,transformation_type,original_query,variation,valid,follow_category
DLTypo,99118,back_translation_pivot_language_de,paraphrase,alchol and drug rehab,alcohol and drug rehabilitation,TRUE,TRUE
DLTypo,99431,back_translation_pivot_language_de,paraphrase,applying for bussiness loans,application for business loan,TRUE,TRUE
DLTypo,99450,back_translation_pivot_language_de,paraphrase,ared hat society,ared has a society,FALSE,TRUE
DLTypo,99478,back_translation_pivot_language_de,paraphrase,army physical fittness test,army physical fitness test,TRUE,TRUE
DLTypo,99636,back_translation_pivot_language_de,paraphrase,azygous lobe in the lung,asygous praise in the lungs,FALSE,FALSE
DLTypo,100382,back_translation_pivot_language_de,paraphrase,cache creek casion,cache of greek casion,TRUE,TRUE
DLTypo,100508,back_translation_pivot_language_de,paraphrase,car accident lawers,motor accidents lawyers,TRUE,TRUE
DLTypo,2230899496,back_translation_pivot_language_de,paraphrase,congential seizures in dogs,birth disorders in dogs,TRUE,TRUE
DLTypo,102043,back_translation_pivot_language_de,paraphrase,drug teting in animals,drug inflammation in animals,FALSE,TRUE
DLTypo,102400,back_translation_pivot_language_de,paraphrase,facts about chirs brown,facts about chirs brown,FALSE,FALSE
DLTypo,102610,back_translation_pivot_language_de,paraphrase,flee market buildings,the escape market building,FALSE,TRUE
DLTypo,103451,back_translation_pivot_language_de,paraphrase,guide to create a cover latter,guide to creating a cover in the end,FALSE,TRUE
DLTypo,103540,back_translation_pivot_language_de,paraphrase,haravrd medical school,harvard medical school,TRUE,TRUE
DLTypo,103941,back_translation_pivot_language_de,paraphrase,how did confusianism create order in china,how confusion created order in china,TRUE,TRUE
DLTypo,103945,back_translation_pivot_language_de,paraphrase,how do i clean my computor monitor screen,how can i clean my computer monitor screen,TRUE,TRUE
DLTypo,103963,back_translation_pivot_language_de,paraphrase,how far is it from san diego to tiajuana mexico,how far is it from san diego to tiajuana mexico,FALSE,FALSE
